principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
regard	<u><b>regard</b></u>:respeito,consideração,estima,apreciação. <u><b>to regard</b></u>:considerar,ver,olhar,ter em conta,estimar,dizer respeito a.	1. to think of someone or something in a particular way. <BR>2. respect or admiration for someone or something. <BR>3. friendly greetings. <BR>4. relating to something.	"01.  <font color=""#00aaff""><u>(tr)</font></u> to look upon or consider in a specified way."		(3)considerar,que diz respeito	(4458)respeito,(2338)considerar	respeito,·consideração,considerar	respeito,·consideração	considerar,consideração,estima,respeito,cumprimentos,com relação a algo						attention, look,affection, good opinion,feature, detail,look at; listen to,believe, judge,have something to do with																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-regard.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-regard.mp3]				(rɪˈgɑrd)	rɪˈgɑːd	rɪˈgɑrd					"<span class=""ipa dipa"">rɪˈɡɑrd</span>"																	
notch	<u><b>notch</b></u>:fenda,entalhe. <u><b>to notch</b></u>:dentear.	1. a V-shaped cut in a hard surface. <BR>2. an imaginary point or position in a system of comparing values, where a higher position is better and a lower position is worse. <BR>3. to cut a notch in something.			(3)entalhar,(3)entalhe	(215)entalhe	entalhar,entalhe	entalhe	corte,um pouco,cortar,fazer um corte em	<b>notch</b>  corte  fazer um corte					indentation,level within classification,indent																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-notch.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-notch.mp3]				(nɒtʃ)	nɒʧ	nɒtʃ					"<span class=""ipa dipa"">nɑːtʃ</span>"																	
mustard	<u><b>mustard</b></u>:mostarda.	1. a spicy, yellow or brown sauce, often eaten in small amounts with meat.	"01.  <font color=""#00aaff""><u>(Colours)</font></u> a. a brownish-yellow colourb. <font color=""#00aaff""><u>(as adjective)</font></u>."		(3)mostarda	(1637)mostarda	mostarda	mostarda	mostarda	<b>mustard</b>  mostarda					flavoring																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-mustard.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-mustard.mp3]				(ˈmʌs tərd)	ˈmʌstəd	ˈmʌs tərd					"<span class=""ipa dipa"">ˈmʌs·tərd</span>"																	
moose	<u><b>moose</b></u>:alce	1. a type of large deer with large, flat horns and a long nose that lives in the forests of North America, northern Europe, and Asia.			(3)alce	(599)alce	alce	alce	alce	<b>moose</b>  alce																																				[sound:7001-8000/cambridge/7001-8000-cambridge-moose.mp3]				(mus)	muːs																							
hooray		1. something that you shout when you are happy because of something that has just happened.				(79)viva,(40)hurra			hurra!	<b>hooray</b> <b>,</b> <b>interjection</b>  viva!	"<div> <font color=""#c7c7c7""><i><u><b></b></u></i></font>  hurra</div>"				emphatic exclamation																															[sound:7001-8000/cambridge/7001-8000-cambridge-hooray.mp3]				(həˈrɑ, -ˈrɔ)							"<span class=""ipa dipa"">hʊˈreɪ</span>"	hʊˈreɪ																
exquisite	<u><b>exquisite</b></u>:excelente,elegante,requintado,primoroso,primorosa,rebuscado,bonito,refinado,diferenciado.	1. very beautiful or perfect.			(3)requintado	(864)requintado	requintado,·primoroso,requinte	requintado,·primoroso,requinte	primoroso,requintado,primorosamente,delicadamente	<b>exquisite</b>  refinado					beautiful, excellent, finely detailed,intense																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-exquisite.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-exquisite.mp3]				(ɪkˈskwɪz ɪt, ˈɛk skwɪ zɪt)	ɪkˈskwɪzɪt	ɪkˈskwɪz ɪt, ˈɛk skwɪ zɪt					"<span class=""ipa dipa"">ɪkˈskwɪz·ɪt</span>, <span class=""ipa dipa"">ˈek·skwɪz·ɪt</span>"																	
disrespect	<u><b>disrespect</b></u>:desrespeito,desacato,descortesia. <u><b>to disrespect</b></u>:desrespeitar,desacatar.	1. impolite behaviour to someone, especially a person who is older or more important than you. <BR>2. to not accept that someone is important or has rights, and behave badly towards them.			(3)desrespeitar,(3)desrespeito	(370)desrespeitar,(590)desrespeito	desrespeitar,desrespeito	desrespeitar,desrespeito	desrespeito,desrespeitar	<b>disrespect</b>  desrespeito					disregard, rudeness toward someone																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-disrespect.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-disrespect.mp3]				(ˌdɪs rɪˈspɛkt)	dɪsrɪsˈpekt	ˌdɪs rɪˈspɛkt					"<span class=""ipa dipa"">ˌdɪs·rɪˈspekt</span>"																	
complaints	<u><b>complaints</b></u>:queixas.				(3)queixa,(3)denúncia,reclamações,(3)reclamação	(4160)queixas	queixa,denúncia,reclamação								statement of disagreement, discontent,illness, affliction																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-complaints.mp3]						kəmˈpleɪnt,kəmˈpleɪnts	kəmˈpleɪnt																						
armor	<u><b>armor</b></u>:armadura. <u><b>to armor</b></u>:blindar.		"01.  <font color=""#00aaff""><u>(Military)</font></u> the US spelling of armour."		(3)armadura,armaduras	(2609)armadura	blindado,armadura	,blindado,armadura		<b>armor</b> <b>.</b> &nbsp;armadura <b>.</b> &nbsp;blindagem					protective covering, often made of metal																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-armor.mp3]					(ˈɑr mər)	ˈɑːmə	ˈɑr mər																						
wheat	<u><b>wheat</b></u>:trigo.	1. a plant whose grain is used for making flour, or the grain itself.			(3)trigo	(4593)trigo	trigo	trigo	trigo	<b>wheat</b>   trigo					grain																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-wheat.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-wheat.mp3]				(ʰwit, wit)	wiːt	wit, ʰwit					"<span class=""ipa dipa"">hwit</span>"																	
straw	<u><b>straw</b></u>:palha,palhinha,canudo,haste,talo. <u><b>to straw</b></u>:dispersar,cobrir de palha.	1. the long, dried stems of certain plants, such as wheat, often given to animals. <BR>2. a thin plastic or paper tube that you use for drinking through.	"01.  <font color=""#00aaff""><u>(Botany)</font></u> a single dry or ripened stalk, esp of a grass.<BR>02.  <font color=""#00aaff""><u>(as modifier)</font></u>."		(3)palha	(1816)palha	·canudo,palha	·canudo,palha	palha,canudo						hay																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-straw.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-straw.mp3]				(strɔ)	strɔː	strɔ					"<span class=""ipa dipa"">strɔ</span>"																	
slapped					esbofeteado	(62)esbofeteado,(79)bateu,(44)esbofeteou,(41)deu um tapa	esbofeteou	,esbofeteado		<b>slapped</b> esbofetear					hard hit, often with hand																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-slapped.mp3]					(slæp)	slæp	slæp																						
shattered	<u><b>shattered</b></u>:exausto,arrasado,despedaçado.	1. very tired.			quebrado,(2)destruído	(116)despedaçado,(178)quebrado,(137)destruído,(80)quebrou	·destruído,·despedaçado	·destruído,·despedaçado	acabado,arrebentado,extenuado	<b>shattered</b>  destruído					break into small pieces,hurt someone badly																															[sound:7001-8000/cambridge/7001-8000-cambridge-usshare012.mp3]					ˈʃætə,ˈʃætəd						"<span class=""ipa dipa"">ˈʃæt̬·ərd</span>"																	
ruthless	<u><b>ruthless</b></u>:cruel,impiedoso.	1. not caring if you hurt or upset other people when you try to get what you want.			(3)impiedoso,(3)cruel,(3)implacável	(560)cruel,(582)implacável	·implacável,impiedoso,cruel	·implacável,crueldade,cruel	insensível,desumano,implacavelmente,crueldade,insensibilidade	<b>ruthless</b>  impiedoso					mean, heartless																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-ruthless.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-ruthless.mp3]				(ˈruθ lɪs)	ˈruːθlɪs	ˈruθ lɪs					"<span class=""ipa dipa"">ˈruθ·ləs</span>"																	
refill	<u><b>refill</b></u>:recarga. <u><b>to refill</b></u>:reabastecer	1. to fill something again. <BR>2. an act of filling something again.			(3)reabastecer,encher	(133)recarga,(66)reabastecer,(71)refil,(107)encher	·reenchimento,recarga,reabastecer,·reencher,recarregado,encher	·reenchimento,recarga,reabastecer,·reencher,recarregado	encher novamente,suprir novamente,refil,nova carga	<b>refill</b> &nbsp;refil / carga <b>.</b> reabastecer					contents,something that takes up,fill, stock																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-refill.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-refill.mp3],[sound:cambridge-refill.mp3]				(v.  riˈfɪl; n.  ˈriˌfɪl)	ˈriːfɪl	"<span class=""luna-pos"">verb</span> riˈfɪl; <span class=""luna-pos"">noun</span> ˈriˌfɪl"					"<span class=""ipa dipa"">riˈfɪl</span>,<span class=""ipa dipa"">ˈriˌfɪl</span>"																	
payroll	<u><b>payroll</b></u>:consignado,folha de pagamento.	1. a list of the people employed by a company showing how much each one earns. <BR>2. the total amount of money paid to the people employed by a particular company.			folha de pagamento,(2)folha de pagamentos,(2)folha de salários	(387)folha de pagamento			folha de pagamento						money paid for work done,cost, payment																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-payroll.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus73463.mp3]				(ˈpeɪˌroʊl)	ˈpeɪrəʊl	ˈpeɪˌroʊl					"<span class=""ipa dipa"">-roʊl</span>"																	
numb	<u><b>numb</b></u>:dormente,entorpecido. <u><b>to numb</b></u>:paralisar,entorpecer.	1. If a part of your body is numb, you cannot feel it.			(3)entorpecido,(3)dormente	(268)dormente	·insensível,entorpecido,·entorpecido,dormente	·insensível,·entorpecido,dormente	dormente	<b>numb</b>  entorpecido  entorpecer					deadened, insensitive,deaden																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-numb.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-numb.mp3]				(nʌm)	nʌm	nʌm					"<span class=""ipa dipa"">nʌm</span>"																	
mourning	<u><b>mourning</b></u>:luto.	1. a feeling of sadness because someone has died.			(3)luto,(3)pranto	(1111)luto	·lamentação,luto,·pranto,·lamento	·lamentação,luto,·pranto,·lamento	luto	<b>mourning</b>  <b>1.</b>  luto <b>2.</b> luto					sadness, time of sadness																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-mourning.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-morning.mp3]				(ˈmɔr nɪŋ, ˈmoʊr-)	ˈmɔːnɪŋ,mɔːn	ˈmɔr nɪŋ, ˈmoʊr-					"<span class=""ipa dipa"">ˈmɔr·nɪŋ</span>"																	
manly	<u><b>manly</b></u>:viril,varonil,másculo. <u><b>manly</b></u>:virilmente.	1. having the qualities that people think a man should have.			(3)varonil,(3)viril	(186)viril,(105)másculo,(45)macho,(85)masculino	varonil,viril,másculo		másculo,masculinidade,virilidade	<b>manly</b>  <b>ie</b>  másculo					courageous																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-manly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-manly.mp3]				(ˈmæn li)	ˈmænlɪ	ˈmæn li																						
hunk	<u><b>hunk</b></u>:gato,naco	1. a large, thick piece, especially of food. <BR>2. a tall, strong, attractive man.			pedaço,(3)naco	(220)pedaço	pedaço		naco,gatão	<b>hunk</b>  naco					chunk of solid material																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-hunk.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-hunk.mp3]				(hʌŋk)	hʌŋk	hʌŋk																						
fellows	<u><b>fellows</b></u>:companheiros,companheiras,colegas.				companheiros	(408)companheiros	companheiros								male or female colleague, friend																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-fellows.mp3]					(ˈfɛl oʊ)	ˈfɛləʊz,ˈfeləʊ	ˈfɛl oʊ																						
drift	<u><b>drift</b></u>:direção,movimento,tendência,tração,fluxo da corrente de um rio,depósito de areia formado por um agente natural. <u><b>to drift</b></u>:derivar,vagar,ser levado pela corrente.	1. to be moved slowly somewhere by wind or water.			(3)deriva	(593)deriva	deriva,derivar,·desvio	deriva,derivar,·desvio	ficar à deriva,sem rumo,ser arrastado	<b>drift</b>  <b>1.</b>  monte <b>2.</b> teor  <b>1.</b> ser levado <b>2.</b> vaguear					accumulation,meaning, significance of communication,move aimlessly																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-drift.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-drift.mp3]				(drɪft)	drɪft	drɪft					"<span class=""ipa dipa"">drɪft</span>"																	
dreadful	<u><b>dreadful</b></u>:terrível,atroz,medonho,horrendo,apavorante,pavoroso,feia.	1. very bad.	"01.  <font color=""#00aaff""><u>(intensifier)</font></u>."		(3)terrível	(1007)terrível	terrível	terrível	medonho,horrível,pavoroso	<b>dreadful</b>  <b>1.</b> terrível <b>2.</b> horrível					horrible, frightening																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-dreadful.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-dreadful.mp3]				(ˈdrɛd fəl)	ˈdredf(ə)l	ˈdrɛd fəl					"<span class=""ipa dipa"">ˈdred·fəl</span>"																	
doorstep	<u><b>doorstep</b></u>:soleira,degrau da prota. <u><b>to doorstep</b></u>:espreitar	1. a step in front of an outside door.	"01.  <font color=""#00aaff""><u>(Architecture)</font></u> a step in front of a door.<BR>02.  <font color=""#00aaff""><u>(Cookery)</font></u> informal a thick slice of bread."		(1)degrau de porta,porta de entrada	(952)porta	porta,soleira		soleira	<b>doorstep</b>  degrau da porta					one level of stairs,opening; beginning																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-doorstep.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-usdoome011.mp3]				(ˈdɔrˌstɛp, ˈdoʊr-)	ˈdɔːstep	ˈdɔrˌstɛp, ˈdoʊr-					"<span class=""ipa dipa"">ˈdɔːr-</span>"																	
chops			"01.  <font color=""#00aaff""><u>(Music, other)</font></u> music embouchure."		costeletas,(1)ondas,(1)mar agitado	(373)costeletas	costeletas	,costeletas							cut up with tool																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-chops.mp3]						ʧɒp	tʃɒp																						
stem	<u><b>stem</b></u>:tronco,caule,haste,proa,talo,piteira. <u><b>to stem</b></u>:remover o talo de.	1. the long, thin part of a plant that the leaves and flowers grow on. <BR>2. the vertical part of a glass or similar container which supports the part into which you put liquid. <BR>3. to stop something unwanted from spreading or increasing. <BR>4. to stop the flow of a liquid such as blood.	"01.  <font color=""#00aaff""><u>(Botany)</font></u> a corresponding structure in algae and fungi.<BR>02.  <font color=""#00aaff""><u>(tr)</font></u> to pack tightly or stop up.<BR><BR>05.  To make headway against <font color=""#00aaff""><u>(a tide or current, for example)</font></u>.<BR>06.  To stop or stanch <font color=""#00aaff""><u>(a flow)</font></u>.<BR>08.  To plug or tamp <font color=""#00aaff""><u>(a blast hole, for example)</font></u>.<BR><BR>05.  The forward part of a vessel <font color=""#00aaff""><u>(often opposed to stern)</font></u>.<BR>06.  To make headway against <font color=""#00aaff""><u>(a tide, current, gale, etc.)</font></u>."		(3)haste	(345)caule,(487)haste,(607)tronco	talo,·caule,tronco,haste	·caule,tronco	talo,haste,estancar,por freio em						stalk of plant,come from,prevent, stop																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-stem.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-stem.mp3]				(stɛm)	stem	stɛm					"<span class=""ipa dipa"">stem</span>"																	
stashed					escondido,(3)esconder	(126)escondeu,(63)guardado,(247)escondido,(35)escondi	esconder								hoard,hide																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-stashed.mp3]					(stæʃ)	stæʃ	stæʃ																						
stash	<u><b>stash</b></u>:qualquer droga ilegal,esconderijo. <u><b>to stash</b></u>:esconder. <u><b>to stash</b></u>:guardar.				(3)esconder	(299)esconderijo,(168)estoque,(221)esconder	guardar,esconder	,guardar							hoard,hide																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-stash.mp3]					(stæʃ)	stæʃ	stæʃ																						
sensed	<u><b>sensed</b></u>:sentido.				(3)sentir,sentido	(81)sentido,(48)sentia,(155)sentiu,(204)senti	sentir,sentido								become aware of																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-sensed.mp3]						sens	sɛns																						
madly	<u><b>madly</b></u>:loucamente.	1. with a lot of energy and enthusiasm. <BR>2. to love someone very much.			(3)loucamente	(286)loucamente	loucamente		loucamente,estar perdidamente apaixonado	<b>madly</b>  loucamente					wildly, fiercely																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-madly.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-madly.mp3]				(ˈmæd li)	ˈmædlɪ	ˈmæd li					"<span class=""ipa dipa"">ˈmæd·li</span>"																	
halls			"01.  <font color=""#00aaff""><u>(Biography)</font></u> Charles Martin. 1863–1914, US chemist.<BR>02.  <font color=""#00aaff""><u>(Biography)</font></u> Sir Peter. born 1930, English stage director.<BR>"		corredores	(676)salas,(477)salões,(432)corredores	corredores				"<div>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  (entrada) vestíbulo;  átrio<br>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  corredor de ligação<br>3. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  (palácio, castelo, etc.) salão de receções ou banquetes<br>4. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  (colégio, escola) refeitório<br>5. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  centro de conferências;  casa de espetáculos;  grande edifício público<br>6. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  casa senhorial na província<br>7. <font color=""#c7c7c7""><i><u><b> MECÂNICA</b></u></i></font>  casa das máquinas</div>"				corridor,room for large affairs			01. a space or passage inside the entrance or front door of a building<BR>02. a passage in a building with rooms down either side<BR>03. a building or large room for public meetings, meals, concerts, etc.<BR>04. a building for university or college students to live in<BR>05. a large country house								"01. <font color=""#c7c7c7""><i>a space or passage inside the entrance or front door of a building</i></font><br><font color=""#c7c7c7""><i>espaço ou passagem no interior da entrada ou da porta da frente de um edifício</i></font><br><b>""Her brother was standing in the front hall.""</b><br><i>""O irmão dela estava no corredor da frente.""</i><br><br><b>""She ran into the hall and up the stairs.""</b><br><i>""Ela correu para o corredor e subiu as escadas.""</i><br><br>02. <font color=""#c7c7c7""><i>a passage in a building with rooms down either side</i></font><br><font color=""#c7c7c7""><i>uma passagem num edifício com quartos de ambos os lados</i></font><br><font color=""#c7c7c7""><i>synonyms:corridor</i></font><br><b>""I headed for Scott's office down the hall.""</b><br><i>""Fui para o escritório do Scott ao fundo do corredor.""</i><br><br><b>""the room across the hall""</b><br><i>""o quarto do outro lado do corredor""</i><br><br>03. <font color=""#c7c7c7""><i>a building or large room for public meetings, meals, concerts, etc.</i></font><br><font color=""#c7c7c7""><i>um edifício ou grande sala para reuniões públicas, refeições, concertos, etc.</i></font><br><b>""a concert/sports hall""</b><br><br><b>""a banqueting/conference hall""</b><br><i>""uma sala de banquetes / conferências""</i><br><br><b>""an exhibition hall""</b><br><i>""exposicao""</i><br><br><b>""There are three dining <font color=""#ff0000"">halls</font> on campus.""</b><br><i>""Há três salas de jantar no campus.""</i><br><br><b>""the Royal Albert Hall""</b><br><i>""o Royal Albert Hall""</i><br><br><b>""The next meeting is in the community hall on Tuesday.""</b><br><i>""A próxima reunião é na sala comunitária na terça-feira.""</i><br><br><b>""A jumble sale will be held in the village hall on Saturday.""</b><br><i>""Uma venda de artigos será realizada no salão da aldeia no sábado.""</i><br><br>04. <font color=""#c7c7c7""><i>a building for university or college students to live in</i></font><br><font color=""#c7c7c7""><i>um edifício para estudantes universitários ou universitários para viver</i></font><br><b>""She's living in hall(s).""</b><br><i>""Ela está a viver no(s) Salão (s).""</i><br><br>05. <font color=""#c7c7c7""><i>a large country house</i></font><br><font color=""#c7c7c7""><i>uma grande casa de campo</i></font><br><b>""Haddon Hall""</b><br><i>""Haddon Hall""</i><br><br><b>""Berrington Hall was built in the late 18th century.""</b><br><i>""Berrington Hall foi construído no final do século XVIII.""</i><br>"																			[sound:7001-8000/thesaurus/7001-8000-thesaurus-halls.mp3]					(hɔl)	hɔːl	hɔl						hɔːl																
dork	<u><b>dork</b></u>:cafona,babaca. <u><b>dork</b></u>:panaca	1. a stupid awkward person.			idiota	(236)idiota	idiota		idiota						boor,stupid person,geek,idiot,dolt,clod,dullard,odd person; computer expert,very stupid person																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-dork.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-dork.mp3]				(dɔrk)	dɔːk	dɔrk					"<span class=""ipa dipa"">dɔːrk</span>"																	
cleaners	<u><b>cleaners</b></u>:tinturaria.				(3)confundir	(130)lavanderia,(135)limpadores,(191)limpeza,(215)lavandaria	limpadores,limpeza								detergent																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-cleaners.mp3]						ˈkliːnəz,ˈkliːnə	ˈkli nər																						
charade	<u><b>charade</b></u>:charada.	1. an act or event that is clearly false. <BR>2. a team game in which each member tries to communicate to the others a particular word or phrase that they have been given, by expressing each syllable or word using silent actions.			(3)charada	(285)charada,(154)farsa	charada,farsa		farsa,charada	<b>charade</b> &nbsp;farsa&nbsp;<div>					pretense																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-charade.mp3]					(ʃəˈreɪd; esp. Brit. ʃəˈrɑd)	ʃəˈrɑːd	"ʃəˈreɪd; <span class=""luna-label italic"">especially British</span> ʃəˈrɑd"							
chalk	<u><b>chalk</b></u>:giz. <u><b>to chalk</b></u>:esfregar.	1. a soft, white rock. <BR>2. a small stick of this rock used for writing. <BR>3. If two people are like chalk and cheese, they are completely different from each other. <BR>4. to write something with a piece of chalk.			(3)charada	(832)giz	·greda,giz	·greda,giz	calcário,giz,ser tão diferentes como a água do vinho,escrever com giz	<b>chalk</b> <b>.</b> calcário <b>.</b> &nbsp;giz&nbsp;<div>					liquid produced by mammals,rock formed from sediment,favorite,something or someone cherished, prized,blemish, stain,do preliminary design,draw, outline,make or become extremely pale,put language down on paper,make pigmented; shade																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-chalk.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-chalk.mp3]				(tʃɔk)	ʧɔːk	tʃɔk					"<span class=""ipa dipa"">tʃɔk</span>"																	
breed	<u><b>breed</b></u>:raça,casta. <u><b>to breed</b></u>:criar,reproduzir.	1. a type of dog, sheep, pig, etc. <BR>2. to keep animals in order to produce baby animals. <BR>3. If animals breed, they produce babies.	"01.  To bear <font color=""#00aaff""><u>(offspring)</font></u>.<BR>02.  <font color=""#00aaff""><u>(tr)</font></u> to bring up; raise.<BR><BR>01.  To produce <font color=""#00aaff""><u>(offspring)</font></u>; give birth to or hatch.<BR><BR>01.  To produce <font color=""#00aaff""><u>(offspring)</font></u>; procreate."		(3)criar,(3)raça,(3)reproduzir	(2664)raça	raça,procriar,reproduzir	raça,procriar	raça,criar,reproduzir-se,procriar	<b>breed</b> <b>–</b>&nbsp;reproduzir-se <b>.</b> criar <b>.</b> raça&nbsp;<div>					kind, class,generate, bring into being,raise, nurture																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-breed.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-breed.mp3]				(brid)	briːd	brid					"<span class=""ipa dipa"">brid</span>"																	
bouquet	<u><b>bouquet</b></u>:ramo,buquê,ramalhete,ramo de flores.	1. flowers that are tied together in an attractive way.	"01.  <font color=""#00aaff""><u>(Cookery)</font></u> Also called."		(3)ramalhete,(3)buquê	(642)buquê	ramalhete,·buquê	·buquê	ramalhete,buquê	<b>bouquet</b>  <b>1.</b> buquê <b>2.</b> buquê					flower arrangement,aroma																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-bouquet.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus70588.mp3]				(boʊˈkeɪ, bu- for 1,2; buˈkeɪ or, occas., boʊ- for 3 )	buːˈkeɪ	"boʊˈkeɪ, bu- <span class=""luna-def-number italic"">for 1, 2</span>;  buˈkeɪ <span class=""luna-label italic"">or, occasionally</span>, boʊ- <span class=""luna-def-number italic"">for 3</span>"					"<span class=""ipa dipa"">boʊˈkeɪ</span>, <span class=""ipa dipa"">buˈkeɪ</span>"																	
amulet	<u><b>amulet</b></u>:amuleto,figa.	1. an object worn because it is believed to protect against evil, disease, or unhappiness.			(3)amuleto	(655)amuleto	amuleto	amuleto	amuleto						charm																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-amulet.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-usamiab028.mp3]				(ˈæm yə lɪt)	ˈæmjʊlɪt	ˈæm yə lɪt					"<span class=""ipa dipa"">ˈæm.jə.lət</span>"		
warming	<u><b>warming</b></u>:para aquecer. <u><b>warming</b></u>:aquecendo. <u><b>warming</b></u>:aquecimento.	1. A warming type of food or drink makes you feel warm.			(3)aquecimento	(3402)aquecimento	aquecimento	aquecimento	para esquentar,reconfortante						heat up																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-warming.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-uswalka018.mp3]					ˈwɔːmɪŋ,wɔːm	wɔrm					"<span class=""ipa dipa"">ˈwɔːr.mɪŋ</span>"																	
villa	<u><b>villa</b></u>:vila,palacete	1. a large house, especially one used for holidays in a warm country.	<BR><BR>		(3)vila		moradia,vila,·vivenda	,moradia,·vivenda	casa de praia,casa de campo,vila	<b>villa</b> &nbsp;casa de campo					country estate																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-villa.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-villa.mp3]				(ˈvɪl ə)	ˈvɪlə	ˈvɪl ə					"<span class=""ipa dipa"">ˈvɪl·ə</span>"																	
fudge	<u><b>fudge</b></u>:doce cremoso. <u><b>to fudge</b></u>:falsificar,manipular,fraudar,evadir	1. a soft sweet made from sugar, butter, and milk. <BR>2. a plan or action that avoids making a clear decision or giving a clear answer. <BR>3. to avoid making a decision or giving a clear answer about something.	"01.  <font color=""#00aaff""><u>(Journalism & Publishing)</font></u> the late news so inserted.<BR>04.  Nonsense or foolishness <font color=""#00aaff""><u>(often used interjectionally)</font></u>.<BR>08.  To cheat or welsh <font color=""#00aaff""><u>(often fol. by on)</font></u>.<BR>09.  To evade <font color=""#00aaff""><u>(an issue, for example)</font></u>; dodge."		doce de açúcar,(3)falsificar				doce de açúcar,leite e manteiga,mutreta,esquivar-se de algo	<b>fudge</b>  caramelo					fake, misrepresent																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-fudge.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-fudge.mp3]				(fʌdʒ)	fʌʤ	fʌdʒ																						
concerning	<u><b>concerning</b></u>:acerca de,a respeito de. <u><b>concerning</b></u>:quanto a,em face de.	1. about something.			(3)relativo	(7434)sobre		,a respeito de	sobre,a respeito de	<b>concerning</b>  a respeito de					having to do with																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-concerning.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-concerning.mp3]				(kənˈsɜr nɪŋ)	kənˈsɜːnɪŋ,kənˈsɜːn	kənˈsɜr nɪŋ					"<span class=""ipa dipa"">kənˈsɜr·nɪŋ</span>"																	
